Dx/Px Description (HAMDCT),count
Cancer of retromolar area (145.6:0),4
Ischaemic enteritis (557.9:2),4
Non-alcoholic cirrhosis - C (571.53:0),4
Diverticulitis of descending colon (562.11:5),4
Malig lymphoma axilla+ UL LN (202.84:0),4
Open wound hand (882.0:0),4
Malignant hypertension (401.0:0),4
ICH with LOC 1-24 hrs (853.03:0),4
Post-infective hydrocephalus (331.3:5),4
NIDDM hyperosmolar coma (250.20:999),4
Delivered with multiple pregnancy (651.91:800),4
"Peritonitis, primary (567.9:2)",4
Toxic epidermal necrolysis (695.1:6),4
Cancer of vulva (184.4:0),4
Swelling in head & neck (784.2:0),4
Traum pneumothorax-close (860.0:0),4
Opn vlt # IC inj proln LOC regain (800.94:0),4
"Lymphosarcoma, axilla (200.14:0)",4
Diverticulitis colon w hemorrhage (562.13:0),4
Enteritis (558.9:2),4
Postmenopausal bleeding (627.1:0),4
Open wound of face (873.40:0),4
Central cord synd/C1-C4 (952.03:0),4
Paratyphoid fever A (002.1:0),4
Viral encephalitis (049.8:1),4
"Lymphosarcoma, inguinal (200.15:0)",4
Cancer of brain (191.8:0),4
Carcinoma prostate+ bony metastas (185:3),4
"Mortality, unknown cause (799.9:4)",4
Incisional hernia (553.21:0),4
Cervical spinal stenosis (723.0:0),4
Carcinoma of pancreas - head (157.0:1),4
Rheum mitral stenos+ regurgit (394.2:1),4
Intraperitoneal Abscess (567.2:5),4
Diverticulitis of ascending colon (562.11:4),4
Tubal pregnancy (633.1:0),4
Duodenal polyp (537.89:1),4
Choledochal Cyst (576.8:2),4
Diverticula of colon (562.10:2),4
Blood stained ascites (789.5:1),4
Bed sores (707.0:1),4
Gastrojejunal ulcer w h'mage (534.40:0),4
Inj common femoral arter (904.0:0),4
Polymyositis (710.4:0),4
Extensive fasciitis (729.4:1),4
Thrombocytopenic purpura (287.3:1),4
Hypertens encephalopathy (437.2:0),4
Open # pelvis w ring disruption (808.53:1),4
Primary cardiomyopathy (425.4:0),4
Nonruptured cerebral aneurysm (437.3:0),4
Liver hemangioma (228.04:1),4
Gangrenous bowel (557.0:5),4
Cecal mass (569.9:1),4
Intraabdominal loculation (789.30:10),4
"Aortic aneurysm, infra-renal (441.4:1)",4
"Unsatisfactory CTG, delivered (656.91:1)",4
Complication liver transplant (996.82:0),4
Hodgkin nodul sclero thorax LN (201.52:0),4
Cong atresia extrahepati bile duct (751.61:3),3
Injury to retroperitoneum (868.04:0),3
Lung mycobacterium infection (031.0:0),3
Chronic gastritis (535.10:1),3
Cerebrospin flui rhinorrhea postop (349.81:1),3
"Delivered, APH, abruptio placenta (641.21:801)",3
Closed # lower end radius + ulna (813.44:0),3
Pulmonary valve insufficiency (424.3:3),3
Drug induced thrombocytopenia (287.4:4),3
Carbuncle of neck (680.1:1),3
Hydrosalpinx (614.1:2),3
Sebaceous cyst (706.2:0),3
"Anastomotic ulcer, bleeding (998.11:3)",3
Diverticulosis small gut w bleed (562.02:0),3
Ac vasc insuff intestine (557.0:0),3
"Twin pregnancy, antepartum care (651.03:800)",3
Fulminant hepatitis (070.9:8),3
Traumatic rupture of spleen (865.09:1),3
PUJ obstruction (pelvic-ureteric) (593.4:2),3
Acute rapid progress glomeruloneph (580.4:0),3
Joint effusion - shoulder (719.01:0),3
Fusobacteria infection (041.84:2),3
Acute reject kidney trans (996.81:4),3
Anorexia nervosa (307.1:0),3
Uremia (586:1),3
Closed # upper end humerus (812.09:0),3
Calciphylaxis (275.4:75),3
"Bed sore, leg (707.0:5)",3
"Skin melanoma LL, not hip (172.7:3)",3
"GIST, stomach (235.2:3)",3
"Extraperitoneal hematoma, trauma (922.2:1)",3
Hx of GI malignancy (V10.09:0),3
Renal / perirenal abscess (590.2:0),3
Infected Tenckhoff catheter (996.68:2),3
"Pseudocyst, pancreas (577.2:1)",3
"Leakage of bile, post-operative (997.4:10001)",3
Invasive squamous cell carcinoma (199.1:23),3
ARF w renal cortical necrosis (584.6:0),3
Pulmonary collapse (518.0:0),3
Malrotation of gut (751.4:1),3
Acquire coagulat factor deficiency (286.7:0),3
Pemphigus (694.4:0),3
Disseminat atypi mycobacter infect (031.8:1),3
Atypical chest pain (786.50:1),3
Coma (780.01:0),3
Hodgkin mixed cell multi site LN (201.68:0),3
Int hemorrhoid with complication (455.2:0),3
Hx bronchus+ lung cancer (V10.11:0),3
"Abdom aortic aneurysm, no rupture (441.4:3)",3
Duodenal Fistula (537.4:1),3
Eosinophil count raised (288.3:2),3
Cor pulmonale acute (415.0:0),3
TB meningitis confirmed (013.06:0),3
"Cancer of testis, left (186.9:5)",3
General skin eruption by drug& med (693.0:5),3
"Gaped wound, abdomen (998.3:5)",3
Pituitary Apoplexy (253.2:3),3
Type I DM with hyperglycemia (250.81:2),3
Primary PPH with uterine atony (666.10:4),3
Nonrheum aortic valve regurgitat (424.1:1),3
DVT limbs (453.8:2),3
Rectovesical fistula (596.1:2),3
Hepatic duct strictures (576.2:5),3
Intes infec clostridium botulinum (005.1:1),3
Poisonous snake bite (989.5:1),3
Axillary lymphadenopathy (785.6:14),3
Carcinoma of kidney (189.0:2),3
Postoperative complication (998.9:0),3
Ostium secundum type ASD (745.5:0),3
Coronary atheroscler native artery (414.01:0),3
HIV infection / AIDS (042:40),3
External hemorrhoid (455.3:0),3
Cancer of tongue - ventral (141.3:0),3
Acute n subacute hepatic failure (570:8),3
Ureteral tumor (239.5:8),3
Rupture of aorta (441.5:1),3
Infected VP shunt (996.63:2),3
"Coro insfficiency, acute (411.89:1)",3
Intracranial abscess (324.0:0),3
Insulinoma (211.7:3),3
Deliv w morbidly adherent placenta (667.02:1),3
Open # vault lac+ contu mod LOC (800.63:0),3
HIV infection with lymphadenopathy (042:15),3
Skin infection of toe (686.9:7),3
Post-transplant lymphoprolifer dis (238.7:14),3
Ac epiglottitis w obstr (464.31:0),3
PNH (283.2:1),3
Dementia - Lewy body disease (294.1:27),3
Cl skull vault # mod coma (800.23:0),3
Coxsackie myocarditis (074.23:0),3
Alteration of consciousness (780.09:0),3
Bleeding AVF (996.74:4),3
Gingival & periodontal disease (523.9:0),3
Anoxic brain damage (348.1:0),3
Lac eyelid skn/perioculr (870.0:0),3
Autoimmune hepatitis (573.3:10),3
Pheochromocytoma benign-R adrenal (227.0:4),3
Cervical disc dis w myelopathy (722.71:0),3
Mal neo cerebellum (191.6:0),3
Drug induced skin allergy (693.0:2),3
Rupture thoracoabdo aortic aneurys (441.6:0),3
Biliary cirrhosis - secondary (571.6:2),3
Acute myeloproliferative disease (238.7:16),3
Impaired cognition (799.8:34),3
Renal cell carcinoma (189.0:3),3
# shaft tibia-closed (823.20:0),3
Acute peritonitis (567.9:1),3
Brucellosis (023.9:0),3
Viral hepatitis C (070.51:1),3
PPROM (658.10:2),3
Acute delirium (293.0:0),3
Tonsillitis (463:4),3
Respiratory acidosis (276.2:3),3
Oliguria (788.5:2),3
Uterine prolapse with cystocele (618.4:5),3
Parotid tumor (239.0:4),3
Cerebel contus-LOC > 24 (851.44:0),3
Appendicular mass (789.30:3),3
Aseptic meningitis (047.9:1),3
Hemophilus influenza infection (041.5:0),3
Rheumatic aortic valve stenosis (395.0:0),3
Herpes simplex encephalitis (054.3:1),3
Hx-oral/ pharynx malignancy (V10.02:0),3
Burkitt lymphoma head+ neck LN (200.21:0),3
"Dehydration, mild (276.5:2)",3
Volvulus of Colon (560.2:7),3
Central pontine myelinolysis (341.8:4),3
Disorder of ureter (593.9:11),3
Laceration of Forehead (873.42:2),3
Senile cataract (366.10:0),3
Palliative care (V66.7:0),3
Symptomatic sinus bradycardia (427.89:12),3
Ac marginal ulcer w perf (534.10:0),3
Normal Pressure Hydrocep (331.3:1),3
Superior vena cava obstruction (459.2:999),3
Aortic valve prosthe complication (996.02:1),3
Testicular tumor (239.5:7),3
Acquired pancytopenia (284.8:10),3
Closed fracture of multiple ribs (807.09:0),3
ICH with no LOC (853.01:0),3
Pyometra (615.9:2),3
Haemolysis (790.0:3),3
Orchitis/epididymitis (604.90:999),3
Neck mass (784.2:6),3
TB spondylitis (015.00:3),3
Secondary PPH for postpartum care (666.24:800),3
Post-operative pneumonia (486:2),3
Nocardiosis (039.9:1),3
M&B multi dru+ psych sub acu intox (305.90:32),3
Malaise and fatigue (780.7:0),3
Cancer urinary bladder poster wall (188.4:0),3
Intussusception of intestine (560.0:0),3
Viral hep C carrier (V02.62:0),3
Cornual pregnancy (633.8:2),3
HIV result in mycobacterial infect (042:25),3
Chronic antral gastritis (535.10:2),3
Complication d/t joint prosthesis (996.77:0),3
"Bed sore, foot (707.0:6)",3
Thrombosed arteriovenous graft (996.74:2),3
Normal finding (V71.9:29),3
Scrotal swelling (608.86:2),3
Infectious diarrhea (009.2:0),3
Scleroderma (710.18:1),3
Complication kidney transplant (996.81:0),3
Strangulated small bowel (560.2:4),3
Epidur spinal hematoma not trauma (432.0:5),3
Agranulocytosis (288.0:0),3
Esophageal stricture (530.3:3),3
Open# skull vlt lac+ contu <1h LOC (800.62:0),3
"Hypoglycemia, drug-induced (251.1:1)",3
CLL in remission (204.11:0),3
# clavicle closed (810.00:0),3
Lower lip laceration (873.43:2),3
Goodpasture's syndrome (446.21:0),3
Gangrene by arterial insufficiency (447.1:4),3
"Spinal cord injury, C1-C4 level (952.00:0)",3
Microangiopathic hemolytic anemia (283.19:1),3
Cancer of hard palate (145.2:0),3
Hx of gastric malignancy (V10.04:0),3
Malignant secondary hypertension (405.09:0),3
Tachycardia (785.0:0),3
Volvulus of stomach (537.89:5),3
Arteriosclerotic heart disease (414.00:2),3
Delivered with hypertension (642.91:800),3
Vaginal tumor (239.5:10),3
Syphilis (097.9:0),3
Streptococcus group A infection (041.01:0),3
Chronic passive congestion liver (573.0:0),3
"Bladder injury, intraoperative (998.2:15)",3
Restrictive lung disease (518.89:1),3
"Cardiopulmonary arrest, post-op (427.5:5)",3
CA posterior hypopharyngeal wall (148.3:0),3
Diabetes mellitus (250.00:0),3
FB in stomach (935.2:0),3
Mal renal HT with renal (403.01:0),3
Measles (055.9:0),3
Infection of retroperitoneal space (567.9:4),3
Infective bursitis (727.3:2),3
Angiodysplasia - upper GI (537.82:1),3
"Delivered, group B strep infection (647.81:800)",3
Drug-induced GE (558.2:1),3
"PPH+ retained placenta, postpartum (666.04:801)",3
Anastomotic ulcer (997.4:15),3
Cancer of floor of mouth (144.9:0),3
Subphrenic abscess (567.2:3),3
Menorrhagia (626.2:1),3
Chronic skin ulcer (707.9:0),3
Trophoblastic Disease (630:3),3
Tenosynovitis (727.00:1),3
Proteus morganii infection (041.6:4),3
Bronchoscopy (33.23:0),3
Enteritis due to norwalk virus (008.63:0),3
Cl vlt# ICH prolong LOC regain con (800.34:0),3
Mixed connective tissue disease (710.8:3),3
Acute osteomyelitis of foot (730.07:1),3
Back and leg pain (724.5:1),3
Terminal ileum ulcer (569.82:3),3
Ovarian cyst torsion (620.2:5),3
Mycosis fungoides (202.10:0),3
Rheum aortic valve insuff (395.1:0),3
Chron gast ulcer+ bleed+ perfor (531.60:0),3
Delivered with placenta praevia (641.01:800),3
Postop hemorrhage (998.11:8),3
Non-DM related hypoglycemia (251.2:0),3
Diverticulosis bowel perfor+absces (562.11:8),3
Trachea stenosis (519.1:1),3
"Breast lump, right (611.72:3)",3
Noninflam dis cervix (622.8:0),3
Cl skul base #-mod coma (801.43:0),3
Abdominal mass (789.30:1),3
Mesentic Infarction (557.0:11),3
Cervical spine dislocation (839.00:1),3
"Diverticular large gut, perf + abs (562.10:8)",3
Laceration of Neck (874.8:999),3
Subcutaneous hematoma (924.9:4),3
Radiation proctitis (569.43:0),3
Liver laceration (864.05:0),3
Sjogren's syndrome (710.2:1),3
Ac sphenoidal sinusitis (461.3:0),3
Open # pelvis (808.9:0),3
Hx of colonic malignancy (V10.05:0),3
Heat exhaustion (992.5:0),3
Vasc access complica- d/t dialysis (996.1:5),3
Aneurysm of visceral artery (442.84:0),3
"Nodular lymphoma, abdom (202.03:0)",3
Hydroureter & Hydronephr (593.5:1),3
Leg pain (729.5:4),3
Urethral stricture (598.9:0),3
"Nontrau wd necrosis, no infe/dehis (785.4:6)",3
Esophageal erosion (530.89:2),3
Ankle edema (719.07:2),3
Lower urinary tract stone (594.9:0),3
Bone pain (733.90:3),3
"Coagulopathy, acquired (286.9:1)",3
Biliary cirrhosis (571.6:0),3
Parkinsonian syndrome (333.0:2),3
Cauda equina syndrome (344.60:0),3
Pelvic lymphoma (202.86:0),3
Renal colic (788.0:0),3
Traum hemothorax-closed (860.2:0),3
Gen nonconvulsi epilepsy (345.00:0),3
Malfunc prosth heart valve (996.02:0),3
Lower limb embolism (444.22:8),3
Delivered with pre-eclampsia (642.41:801),3
Lip laceration (873.43:1),3
ERCP & papillotomy (51.85:1),3
Hx of liver malignancy (V10.07:0),3
Diaphragm hernia w gangr (551.3:0),3
Post-op hematoma (998.12:1),3
"CA larynx - supraglottis, right (161.1:1)",2
Anal & rectal abscess (566:0),2
Epididymitis (604.90:2),2
Intra-abdo abscess postop (998.59:14),2
Acute nephriti syndr crescentic GN (580.89:7),2
"CA larynx - supraglottis, left (161.1:2)",2
Non-alcoholic cirrhosis - A (571.5:4),2
Cerebell contus brief coma (851.42:0),2
CA larynx supraglottis bilateral (161.1:3),2
Burn of upper limb (943.00:0),2
Viral rash (057.9:1),2
Diabetic ketoacidosis (250.10:1),2
Monoclonal paraproteinemia (273.1:0),2
Endometriotic cyst ovary (617.1:1),2
ICH with LOC <1 hr (853.02:0),2
Spinal stenosis (724.00:0),2
Secondary HT by renal disorder (405.92:0),2
"Shunt block, ventricular (996.2:1)",2
"Wound bleeding, postoperative (998.11:19)",2
Aortitis (447.6:3),2
Ext thrombosed hemorrhoid (455.4:0),2
Varicose veins (456.8:0),2
Metastasis to marrow (198.5:4),2
Metastasis to lumbar vertebra (198.5:11),2
Intra-abdom injury closed (868.00:0),2
Blocked Hickman catheter (996.1:6),2
Upper limb embolism (444.21:4),2
Langerhan cell histiocytosis (277.8:1),2
Perforation esophagus & bleeding (530.4:2),2
Cancer of small bowel (152.9:0),2
Pneum in aspergillosis (117.3:1),2
Acute hepatitis C infection (070.51:0),2
Acquired hemolytic anemia (283.9:0),2
Cancer of pharynx (149.0:0),2
Cereb infarct vein thrombo nonpyog (437.6:1),2
Open skull vault # brief coma (800.52:0),2
Non-bedsore ulcer of LL (707.1:4),2
Cancer urinary bladder - trigone (188.0:0),2
Orthostatic hypotension (458.0:0),2
Tetrology of Fallot (745.2:0),2
Herpes zoster meningitis (053.0:0),2
Mal neo head / face / neck (195.0:0),2
Multinodular goiter (241.1:2),2
Intestinal T-cell lymphoma (202.80:43),2
Retained double J catheter (996.39:5),2
Leukemoid reaction (288.8:2),2
Amebic colitis (006.9:1),2
LA thrombus (424.90:1),2
Myeloma kidney (203.00:4),2
# Orbit (802.8:2),2
Sigmoid colon polyp (569.89:5),2
Lupus erythematosus (695.4:0),2
Sudden sensorineural hearing loss (388.2:1),2
Delivered with unstable lie (652.01:800),2
Adult type dermatomyositis (710.3:6),2
Dementia in Alzheimer's disease (290.10:5),2
Acute bronchitis by RSV (466.0:9),2
Cavernous sinus thrombosis (325:2),2
PD catheter malfunction (996.59:8),2
Petechiae of skin (782.7:2),2
Staphylococcal sepsis (038.1:6),2
"AIHA, drug induced (283.0:4)",2
Dietary folate deficiency anemia (281.2:2),2
Hx of lymphoid leukemia (V10.61:0),2
Uncontrol typeII DM incip nephrop (250.42:1),2
Poison by antiadrenergic (971.3:0),2
Close # sacrum/ coccyx+ cord inj (806.60:0),2
Posttrauma wound infection (958.3:0),2
Axonal neuropathy (335.9:1),2
"Sinus of Valsalva aneurysm, LCC (747.29:13)",2
"Pyogenic arthritis, hand (711.04:0)",2
Primary hyperparathyroidism (252.0:1),2
Alcohol abuse (305.00:0),2
Erysipelas (035:0),2
Ischemia (459.9:4),2
Numbness (782.0:1),2
"Chronic kidney disease, stage 4 (585.9:8)",2
Desensitize to allergens (V07.1:0),2
CA stomach - antrum (151.2:3),2
Brugada syndrome (427.41:1),2
Atypical hemolytic uremic syndrome (283.11:1),2
Colonic polyp bleeding (569.89:8),2
FB esophagus (935.1:0),2
Bulbous urethral stricture (598.9:1),2
Injury axillary artery (903.01:0),2
Chronic sinusitis (473.9:0),2
Cardiac myxoma (212.7:2),2
Staphylococcus infection (041.10:0),2
Malignant neoplasm colon (153.8:0),2
Renal Tubular Acidosis (588.8:3),2
Nephrotic syndrome w membranous GN (581.1:0),2
Fracture of ilium - closed (808.41:0),2
Post-meningitis comm hydrocephalus (331.3:3),2
"Spleen parenchy disrupt, massive (865.04:0)",2
Alcohol withdra delirium no convul (291.0:3),2
Acute gastric ulcer h'mage+ perfor (531.20:0),2
Reflux bleeding esophagitis (530.11:1),2
Chest discomfort (786.59:1),2
Primary pulmonary hypertension (416.0:0),2
Ileocecal intussusception (560.0:1),2
Henoch-Schonlein purpura (287.0:1),2
Diaphragmatic hernia (553.3:0),2
DM with gangrene foot (250.70:4),2
Angiodysplasia of large bowel (569.84:2),2
Infect/ inflam by indwel urin cath (996.64:0),2
Leucoencephalopathy (323.9:3),2
Edema pharynx (478.25:1),2
Dissec abdominal aortic aneurysm (441.02:0),2
Thigh pain (729.5:5),2
Uveitis (364.3:1),2
Chronic active hepatitis C (070.54:1),2
Ulcerative colitis with bleeding (556.9:2),2
Temporal arteritis (446.5:1),2
Muscle disorder (728.9:4),2
"Partial HELLP, delivery episode (642.51:3)",2
Diverticulum urinary bladder (596.3:0),2
Type II DM with IHD (250.80:9),2
Leakage in GI tract postop (997.4:33),2
Traum pneumohemothor-cl (860.4:0),2
GB stone+ acu cholecystitis& obstr (574.01:0),2
# lateral malleolus - closed (824.2:0),2
# radius w ulna - closed (813.83:0),2
Spinal cord injury (952.9:0),2
ERCP & stent insertion (51.87:1),2
Hydrothorax (511.8:2),2
Ischemic GE (557.9:3),2
Senility (797:0),2
Anal fistula (565.1:0),2
Hemoperitoneum related to dialysis (568.81:4),2
Abnorm. coag. profile (790.92:0),2
Dementia in early Alzheimer (290.10:6),2
Mitral valve failure (394.9:1),2
Bacillus fragilis infection (041.82:0),2
Cancer of larynx (161.9:0),2
"Liver laceration, minor (864.02:0)",2
Submandibular gland infection (527.8:1),2
Disorder of gallbladder (575.9:0),2
Fistula of bile duct (576.4:0),2
Kaposi's Sarcoma (176.9:0),2
Xanthogranulomatous cholecystitis (575.10:3),2
Bile duct stone+ acute chole & obs (574.31:0),2
Close skull vault # ICH brief LOC (800.32:0),2
Cl vault # ICH brief coma (800.22:0),2
Bladder neck stenosis (596.0:1),2
"Humoral hypercalcaemia, malignancy (275.4:1)",2
Anastomotic dehiscence (997.4:1),2
Mal neo long bones arm (170.4:0),2
Extradural hemorrhage (432.0:2),2
"# humerus, condyle - closed (812.44:0)",2
Multiple system atrophy (337.9:6),2
Polymorphic VT (427.1:5),2
Ankylosing spondylitis (720.0:0),2
Open vault # w ICH prolong LOC (800.74:0),2
Cancer bone + articular cartilage (170.9:0),2
Intussusception of intestine (560.0:4),2
Abscess of bursa (727.89:6),2
AMI initial care episode (410.81:0),2
Streptococcal infection (041.00:0),2
Burkitt lymphoma axilla + UL LN (200.24:0),2
Closed ant dislocation shoulder (831.01:1),2
Close skull base # ICH prolon LOC (801.24:0),2
IgA glomerulonephritis (583.89:4),2
"Cancer of renal pelvis, right (189.1:2)",2
Cancer of scalp and skin of neck (173.4:0),2
Bleeding gastric erosion (535.41:1),2
Heat stroke & sunstroke (992.0:0),2
Vertigo (780.4:3),2
Carbuncle (680.9:1),2
Acute sialoadenitis (527.2:4),2
Encounter for closing wound (V58.41:0),2
CPD for maternal care (653.40:1),2
"Pneumothorax, tension (512.0:1)",2
Erosive esophagitis (530.10:4),2
Trau rupture mesenteric vessel (902.20:1),2
# vertebral body lumbar (805.4:6),2
Autoimmune disease (279.4:0),2
Paranoid schizophrenia continuous (295.32:1),2
DM with hyperglycemia (250.80:11),2
"Cancer colon, continguous (153.8:1)",2
"Extradur hem, LOC > 24 h (852.44:0)",2
Panniculitis (729.30:0),2
Strangulated ventral hernia (552.20:1),2
CA-MRSA infection (041.11:3),2
Empty Sella Syndrome (253.8:2),2
Clostridium perfringens infection (041.83:0),2
Perforated gastrojejunostomy (997.4:11),2
Wound bleeding (998.11:9),2
Proteinuria (791.0:0),2
Obstruction of bile duct (576.2:0),2
Concuss prolong LOC regain conscio (850.3:0),2
Ruptured eye ball (871.9:1),2
"# anatomical neck humerus, closed (812.02:0)",2
Blocked Tenckhoff catheter (996.59:3),2
POEMS syndrome (273.9:1),2
Warm antibody hemolytic anemia (283.0:3),2
Churg-Strauss syndrome GN (446.4:1),2
Hypten heart+ renal dis heart fail (404.91:0),2
Post Hepatectomy (V45.89:7),2
Atrial tachycardia (427.89:20),2
Injury (959.9:0),2
Acute periodontitis (523.3:0),2
Cl skull base # IC inj prolon LOC (801.44:0),2
Atrial septal defect (745.5:3),2
Uncontrol typeII DM drug hypoglyce (250.82:3),2
"Phylloides tumor, breast (239.3:1)",2
Cerebral amyloid angiopathy (277.39:9),2
Post esophagectomy (V45.89:9),2
Olecranon bursitis (726.33:0),2
Cytopenia (289.9:7),2
Palpitations (785.1:0),2
Closed # ankle (824.8:0),2
Type I DM (250.01:0),2
Disease due to chlamydia (078.88:0),2
Acquired chylothorax (457.8:2),2
Electrolyte disorder (276.9:1),2
Postop pulmonary valve insuffiency (424.3:5),2
Diverticulitis of small intestine (562.01:0),2
Rupture gallbladder non-traumatic (575.4:2),2
Disseminated carcinoma (199.0:1),2
Infect+ inflam heart valve prosth (996.61:6),2
Toxic multinodular goiter w crisis (242.21:0),2
Groin mass (782.2:9),2
Osteoradionecrosis of jaw (526.89:1),2
Non-alcoholic steatohepatitis (571.49:2),2
Delusional disorder (297.1:1),2
Cong cystic kidney disease (753.10:0),2
Anaerobic sepsis (038.3:1),2
Thrombophlebitis (451.9:2),2
Folate-deficiency anemia (281.2:0),2
Closed # spine w cord lesion (806.8:0),2
Carbuncle of trunk (680.2:3),2
"SLE GN syndrome, WHO class II (710.0:14)",2
Chron reject kidney trans (996.81:5),2
Corrosive gastritis (535.40:1),2
Opioid abuse (305.50:0),2
Posthepatitic cirrhosis (571.5:16),2
Cancer of nasal cavity (160.0:0),2
GAVE with haemorrhage (537.83:4),2
Salmonella enteritis (003.0:6),2
Ac pyelonephritis w medull necros (590.11:0),2
Kikuchi's disease (289.3:4),2
Pericarditis (420.90:3),2
Oral thrush (112.0:0),2
Vasculitis of skin (447.6:2),2
Post-TURP bleeding (998.11:10),2
TB urinary organ (016.30:0),2
Dihydropyrimidine dehydrogenas def (277.6:6),2
Stenosis of carotid artery (433.10:5),2
Alcohol withdra delirium+ convulsi (291.0:4),2
Umbilical hernia (553.1:0),2
"Liver derangement, drug related (573.3:2)",2
TB peritonitis by culture (014.04:0),2
Group D streptococcal septicemia (038.0:8),2
Neck pain (723.1:1),2
Infective meningitis (320.9:2),2
Laryngitis (464.0:1),2
Osteoradionecrosis of skull base (733.49:6),2
Injur heart+ h'pericard no open wd (861.00:3),2
TB meningitis by microscopic exam (013.03:0),2
Anuria (788.5:1),2
Polycythemia vera (238.4:0),2
Mitochondrial disease (359.8:3),2
Acute gastritis and duodenitis (535.00:1),2
Acute enterocolitis (558.9:9),2
Neutropenic typhlitis (540.9:5),2
Injury popliteal artery (904.41:0),2
Radionecrosis (990:1),2
Abdo pain in delivery episode (648.91:906),2
"Diverticulum of esophagus, acq (530.6:0)",2
Degenerative scoliosis (737.39:5),2
Ac art emb in leg (444.22:1),2
Ossify post longit ligame neck reg (723.7:0),2
Recurrent salmonella septicemia (003.1:2),2
# ribs multiple (807.09:1),2
Retained products of conception (632:1),2
Acute otitis externa (380.22:0),2
Megacolon (564.7:2),2
Chronic duodenal ulcer w obstruct (532.71:0),2
Below knee amputation status (V49.75:0),2
Admit to remove double J catheter (V53.6:1),2
Swallowed FB (938:1),2
Leaking duodenal stump (997.4:21),2
"Tricuspid insufficiency, nonrheuma (424.2:7)",2
Blocked NG tube (996.59:10),2
Acute HIV infection syndrome (042:39),2
Pulmonary lymphangioleiomyomatosis (518.3:2),2
On-table consultation (V67.0:1),2
Adhesion of small bowel (568.0:8),2
Enterovirus infection (079.89:6),2
Penile urethral stricture (598.9:5),2
"Delivered, incomplete placenta (667.12:802)",2
No ureteric stricture (V71.9:22),2
Sciatica (724.3:0),2
Torsades des pointes (427.1:1),2
Demyelinating disease (341.9:1),2
Cx due to prosthesis (996.79:2),2
Subtrochanteric # - open (820.32:0),2
Malig neo abdomen (195.2:0),2
Lymphedema (457.1:0),2
Lower urinary tract symptoms (788.9:4),2
Ac maxillary sinusitis (461.0:0),2
Nonunion of fracture (733.82:0),2
Hypersensitivity reaction (995.3:3),2
"Pyogenic arthritis, multiple sites (711.09:0)",2
Ulcer of mouth (528.9:14),2
Acute pharyngitis (462:0),2
Delivered with breech presentation (652.21:800),2
Cl vault# prolong LOC regain consc (800.04:0),2
Cushing's syndrome (255.0:0),2
"Ulcer with perforation, intestine (569.83:12)",2
Foot pain (719.47:2),2
Volvulus (560.2:0),2
Ruptured gallbladder (575.4:1),2
Rupture of artery (447.2:0),2
Malignant otitis externa (380.14:0),2
TB encephalitis/ myelitis (013.60:0),2
Cardiomyopathy due to toxicity (425.4:6),2
Gastric stromal tumor (211.1:5),2
Periorbital abscess (376.01:1),2
"Leaking GI anastomosis, postop (997.4:20)",2
Instantaneous death (798.1:0),2
# C1 vertebra-closed (805.01:0),2
Previous lymphoma (V10.79:1),2
Corynebacterium infection (032.9:1),2
IDDM with ketoacidosis (250.11:1),2
Cerebral Abscess (324.0:3),2
Acute intravascular hemolysis (283.2:4),2
Thyroid Mass (246.9:1),2
Closed # foot phalanx/ phalanges (826.0:0),2
Clo# skul base lac+ contu brf LOC (801.12:0),2
# trimalleolar-closed (824.6:0),2
Inj common carotid arter (900.01:0),2
Preterm prelabor ROM antepartum (658.13:802),2
"Mal neoplasm, adrenal cortex (194.0:12)",2
Angiodysplasia - stomach & duoden (537.82:0),2
Protrusio acetabuli (718.60:0),2
CA oropharynx (146.9:0),2
Pre-eclampsia (642.40:1),2
"Abdominal pain, left low quadrant (789.04:0)",2
Large Bowel Adhesion (568.0:7),2
Angiofibroma (229.9:11),2
Dislocation hip - closed (835.00:0),2
Hemophilus flu septicemia (038.41:0),2
"Placenta previa type III, AP (641.03:804)",2
Burn foot (945.02:0),2
"Legal abort w hemorrhage, incompl (635.11:0)",2
Post traumatic (V15.5:1),2
Substernal goiter (240.9:6),2
Hypocellular bone marrow (284.9:10),2
Gouty arthropathy (274.0:0),2
Cervical LN metastasis (196.0:1),2
Image guide percutane drain liver (50.91:1),2
Atten to tracheostomy (V55.0:0),2
Pelvic abscess female postop (614.4:4),2
"Chorioamnionitis, antepartum care (658.43:800)",2
Cancer of soft palate (145.3:0),2
Stridor (786.1:0),2
Tumor of endocrine pancreas (239.7:10),2
Acidosis (276.2:0),2
Mitochon neurogastro encephalo syn (330.4:4),2
Pancreas injury (863.84:0),2
Cerebral edema (348.5:0),2
"Venous ulcer, varicose (454.0:2)",2
Open vault # w ICH moderate LOC (800.73:0),2
"Placenta accreta no hemorrhage, PP (667.04:802)",2
Hemorrhagic from cerebral infarct (431:8),2
Spinal stenosis-thoracic (724.01:0),2
Metastasis to multiple sites (199.0:3),2
Anorexia (783.0:0),2
Splenic injury (865.00:0),2
Peritoneal tumor (239.0:5),2
Ac marginal ulcer (534.30:0),2
Above knee amputation status (V49.76:0),2
Pacemaker complication (996.01:1),2
Blocked suprapubic catheter (996.39:9),2
Carcinoma of pharynx (149.0:1),2
Extraperitoneal hematoma - injury (868.00:1),2
Screen-rickettsial dis (V75.0:0),2
