Organism_Combination,Count
Citrobacter freundii complex | Citrobacter koseri | Escherichia coli,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida species | Corynebacterium striatum | Pseudomonas aeruginosa,1
Klebsiella pneumoniae complex | Mycobacterium gordonae | Mycobacterium species,1
Candida albicans | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Proteus mirabilis | Staphylococcus aureus | Staphylococcus caprae,1
Comamonas kerstersii | Klebsiella pneumoniae complex | Streptococcus anginosus | Vibrio fluvialis,1
Candida species | Pseudomonas aeruginosa | Serratia marcescens,1
Citrobacter freundii complex | Enterococcus avium | Enterococcus faecalis | Pseudomonas aeruginosa,1
Candida species | Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Trichosporon species,1
Candida albicans | Candida species | Corynebacterium striatum | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Schaalia species | Streptococcus anginosus,1
Candida species | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Serratia species,1
Enterococcus faecium | Klebsiella aerogenes | Proteus mirabilis,1
Candida albicans | Diphtheroids | Enterococcus faecalis | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa,1
Campylobacter coli | Clostridioides difficile,1
Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Proteus mirabilis | Staphylococcus aureus,1
"Actinomyces neuii | Prevotella bivia | Staphylococcus, coagulase negative",1
Candida tropicalis | Enterococcus faecium | Escherichia coli | Klebsiella species,1
Candida species | Pseudomonas aeruginosa | Streptococcus agalactiae | Streptococcus anginosus,1
Diphtheroids | Morganella morganii | Providencia stuartii | Streptococcus agalactiae,1
Clostridioides difficile | Streptococcus sanguinis,1
Candida auris | Klebsiella pneumoniae complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Enterococcus faecium | Proteus mirabilis,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Candida parapsilosis complex | Candida species | Enterococcus faecium,1
Candida albicans | Staphylococcus aureus | Staphylococcus capitis,1
"Candida tropicalis | Coliform bacteria | Enterobacter cloacae complex | Escherichia coli | Staphylococcus, coagulase negative",1
Bifidobacterium longum | Escherichia coli | Streptococcus constellatus | Streptococcus milleri group,1
"Candida glabrata | Candida species | Clostridioides difficile | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Elizabethkingia anophelis | Enterococcus faecium | Escherichia coli | Pichia kudriavzevii,1
Enterococcus faecalis | Morganella morganii | Proteus mirabilis | Staphylococcus aureus,1
"Candida albicans | Candida species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus, coagulase negative",1
Candida parapsilosis complex | Mycobacterium avium complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida species | Enterococcus faecalis | Klebsiella aerogenes | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Staphylococcus lugdunensis | Streptococcus agalactiae,1
"Bacteroides fragilis group | Corynebacterium species | Corynebacterium striatum | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Proteus species | Serratia species | Staphylococcus, coagulase negative | Streptococcus agalactiae",1
Clostridioides difficile | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Candida glabrata | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Streptococcus agalactiae,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis | Candida albicans | Clostridium innocuum | Diphtheroids | Enterococcus faecalis | Klebsiella species | Prevotella bivia | Staphylococcus, coagulase negative | Streptococcus anginosus | Streptococcus mitis group",1
Alpha-haemolytic streptococcus | Neisseria species | Proteus mirabilis | Rothia mucilaginosa | Trichosporon asahii,1
Candida albicans | Clostridium perfringens | Escherichia coli | Klebsiella pneumoniae complex | Lactobacillus salivarius | Streptococcus gallolyticus subspecies pasteurianus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium urealyticum | Diphtheroids | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Bacteroides fragilis | Streptococcus milleri group,1
Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus | Streptococcus species | Yeast,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Klebsiella aerogenes | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
Escherichia coli | Klebsiella species | Mycobacterium species | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Yeast,1
"Mycobacterium avium complex | Staphylococcus capitis | Staphylococcus, coagulase negative",1
Cutibacterium acnes | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1
Acinetobacter species | Stenotrophomonas maltophilia,1
Aspergillus fumigatus | Candida albicans | Enterococcus faecium | Klebsiella pneumoniae | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,1
Proteus mirabilis | Trichosporon asahii,1
"Non-haemolytic streptococcus | Staphylococcus, coagulase negative",1
"Alpha-haemolytic streptococcus | Clostridioides difficile | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Lactobacillus species | Neisseria species | Rothia mucilaginosa | Sphingomonas paucimobilis | Staphylococcus aureus | Streptococcus, viridans group",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida species | Escherichia coli | Klebsiella pneumoniae | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
"Acid-fast bacillus | Mycobacterium tuberculosis | Staphylococcus, coagulase negative",1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida metapsilosis | Candida parapsilosis | Enterococcus faecalis | Enterococcus faecium | Enterococcus raffinosus | Escherichia coli | Klebsiella pneumoniae complex | Klebsiella species | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Actinomyces species | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Prevotella species,1
Anaerobic bacteria | Escherichia coli | Peptostreptococcus species | Pseudomonas aeruginosa | Streptococcus constellatus,1
Mycobacterium species | Mycobacterium tuberculosis | Streptococcus species,1
Bacteroides fragilis group | Candida tropicalis | Enterococcus avium | Enterococcus faecalis | Escherichia coli | Staphylococcus aureus | Streptococcus anginosus,1
Mycobacterium abscessus | Mycobacterium species | Proteus mirabilis | Serratia species,1
Bacteroides fragilis | Enterococcus faecium | Klebsiella species | Lactobacillus rhamnosus | Pichia kudriavzevii | Streptococcus milleri group,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Enterobacter cloacae complex | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Stenotrophomonas maltophilia,1
Acinetobacter species | Citrobacter species | Pseudomonas species | Stenotrophomonas maltophilia,1
"Alpha-haemolytic streptococcus | Diphtheroids | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Moraxella species | Neisseria species | Proteus mirabilis | Rothia mucilaginosa | Streptococcus, viridans group",1
Mycoplasma species,1
"Candida albicans | Candida tropicalis | Corynebacterium species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas species,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Klebsiella pneumoniae | Stenotrophomonas maltophilia | Streptococcus bovis group | Streptococcus, viridans group",1
Malassezia species,1
Candida dubliniensis | Candida lusitaniae | Citrobacter koseri,1
Anaerobic Gram-positive bacilli | Bacteroides species | Citrobacter koseri | Corynebacterium striatum | Enterobacter cloacae complex | Enterococcus faecium | Escherichia coli | Eubacterium species | Gram-positive bacilli | Streptococcus anginosus,1
Corynebacterium striatum | Pseudomonas aeruginosa | Trichophyton rubrum,1
Candida albicans | Candida glabrata | Enterobacter species | Escherichia coli,1
Actinomyces odontolyticus | Candida albicans | Klebsiella pneumoniae | Porphyromonas gingivalis | Prevotella nigrescens | Streptococcus anginosus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis group | Clostridium perfringens | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Micrococcus luteus,1
Candida tropicalis | Diphtheroids | Enterococcus faecium | Escherichia coli | Proteus mirabilis | Pseudomonas aeruginosa,1
Bacillus species | Candida albicans | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,1
Alpha-haemolytic streptococcus | Candida tropicalis | Enterobacter species | Haemophilus paraphrophilus | Neisseria species,1
Anaerobic Gram-positive cocci | Corynebacterium striatum | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Morganella morganii | Proteus mirabilis | Yeast,1
Candida albicans | Candida species | Clostridium ramosum | Escherichia coli,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Enterococcus faecium | Escherichia coli | Morganella morganii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterobacter species | Escherichia coli | Klebsiella pneumoniae | Proteus mirabilis,1
Enterococcus faecium | Gram-positive bacilli | Pseudomonas aeruginosa,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Prevotella species | Staphylococcus, coagulase negative | Streptococcus agalactiae",1
"Cutibacterium acnes | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Mycobacterium fortuitum complex | Streptococcus agalactiae,1
Enterobacter cloacae complex | Enterococcus faecalis | Fusobacterium nucleatum | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida parapsilosis | Enterobacter species | Enterococcus avium,1
Clostridioides difficile | Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,1
Klebsiella pneumoniae | Non-fermentative Gram-negative bacilli,1
Anaerobic Gram-positive bacilli | Streptococcus constellatus,1
Aerococcus species | Coliform bacteria | Enterococcus faecalis | Proteus mirabilis,1
Candida parapsilosis | Candida parapsilosis complex | Corynebacterium striatum | Diphtheroids | Enterococcus faecium | Escherichia coli | Pichia kudriavzevii | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus lugdunensis | Stenotrophomonas maltophilia | Trichophyton mentagrophytes,1
Bacteroides fragilis | Candida glabrata | Escherichia coli | Streptococcus anginosus,1
"Alpha-haemolytic streptococcus | Anaerobic Gram-negative bacilli | Gram-positive bacilli | Neisseria species | Rothia mucilaginosa | Streptococcus salivarius group | Streptococcus, viridans group",1
"Actinomyces species | Neisseria species | Streptococcus, viridans group",1
Enterococcus faecalis | Mycobacterium abscessus | Mycobacterium species | Staphylococcus species,1
Escherichia coli | Klebsiella pneumoniae | Lactobacillus delbrueckii | Streptococcus gallolyticus,1
Candida glabrata | Enterococcus faecium | Oligella urethralis | Pseudomonas aeruginosa,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Moraxella species | Staphylococcus, coagulase negative",1
Alpha-haemolytic streptococcus | Clostridium ramosum | Enterococcus avium | Enterococcus faecalis | Enterococcus faecium | Enterococcus gallinarum | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Neisseria species | Proteus mirabilis | Salmonella Enteritidis | Staphylococcus epidermidis | Staphylococcus haemolyticus | Streptococcus bovis group,1
"Candida parapsilosis | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Citrobacter species | Coliform bacteria | Methicillin resistant Staphylococcus aureus,1
Coliform bacteria | Enterococcus casseliflavus,1
Klebsiella oxytoca | Morganella morganii | Streptococcus agalactiae,1
Bacteroides fragilis | Escherichia coli | Klebsiella species,1
Acinetobacter baumannii | Candida dubliniensis | Candida norvegensis | Candida parapsilosis | Enterococcus faecium | Klebsiella pneumoniae | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
Corynebacterium striatum | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Staphylococcus epidermidis,1
"Achromobacter xylosoxidans | Staphylococcus aureus | Staphylococcus, coagulase negative",1
"Alpha-haemolytic streptococcus | Candida albicans | Clostridioides difficile | Enterococcus faecalis | Enterococcus gallinarum | Escherichia coli | Lactobacillus species | Neisseria species | Rothia mucilaginosa | Staphylococcus epidermidis | Staphylococcus, coagulase negative",1
Citrobacter koseri | Citrobacter species | Proteus mirabilis,1
Enterococcus casseliflavus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis | Enterobacter cloacae complex | Escherichia coli | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Corynebacterium striatum | Corynebacterium urealyticum | Providencia stuartii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterobacter cloacae complex | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecium | Klebsiella pneumoniae | Stenotrophomonas maltophilia,1
Candida parapsilosis complex | Enterobacter species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Diphtheroids | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Staphylococcus caprae,1
"Escherichia coli | Streptococcus, group C",1
Candida albicans | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus pyogenes",1
"Enterococcus faecalis | Pseudomonas aeruginosa | Staphylococcus epidermidis | Staphylococcus, coagulase negative",1
Enterobacter cloacae complex | Escherichia coli | Granulicatella adiacens | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Staphylococcus aureus,1
Bacteroides fragilis group | Citrobacter amalonaticus | Enterococcus avium | Escherichia coli | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacillus species | Coliform bacteria | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Gram-negative bacilli | Gram-positive bacilli | Gram-positive cocci | Klebsiella aerogenes | Salmonella species | Staphylococcus aureus,1
Bacteroides fragilis | Escherichia coli | Fusobacterium varium | Klebsiella pneumoniae complex | Streptococcus milleri group,1
Diphtheroids | Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa | Streptococcus anginosus,1
Burkholderia pseudomallei | Coliform bacteria,1
Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Klebsiella pneumoniae complex | Stenotrophomonas maltophilia,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Coliform bacteria | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Candida tropicalis | Cryptococcus neoformans | Cryptococcus species | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Gram-negative bacilli | Yeast,1
Clostridioides difficile | Enterobacter cloacae complex,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Enterococcus faecium | Staphylococcus, coagulase negative",1
Anaerobic Gram-positive cocci | Citrobacter species | Serratia species | Streptococcus dysgalactiae,1
Morganella morganii | Peptoniphilus species | Pseudomonas aeruginosa | Staphylococcus aureus | Streptococcus anginosus,1
Corynebacterium striatum | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Morganella morganii | Streptococcus constellatus,1
"Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus agalactiae",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Escherichia coli | Morganella morganii | Pseudomonas aeruginosa,1
Candida albicans | Escherichia coli | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Trichophyton rubrum | Yeast,1
Candida tropicalis | Diphtheroids | Enterococcus faecium | Escherichia coli,1
Mycobacterium avium complex | Pseudomonas nitroreducens,1
Bacillus cereus group | Klebsiella pneumoniae,1
Candida albicans | Citrobacter species | Pseudomonas aeruginosa | Serratia marcescens | Serratia species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida species | Escherichia coli | Staphylococcus capitis | Staphylococcus epidermidis | Staphylococcus haemolyticus,1
Acinetobacter species | Candida glabrata | Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas species,1
Klebsiella pneumoniae complex | Klebsiella species | Staphylococcus warneri | Stenotrophomonas maltophilia,1
Candida utilis | Escherichia coli,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
"Bacillus species | Staphylococcus aureus | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1
Pasteurella multocida | Pasteurella species,1
Candida glabrata | Candida species | Candida tropicalis | Citrobacter species | Methicillin resistant Staphylococcus aureus,1
Actinomyces odontolyticus | Atopobium parvulum | Candida albicans | Enterococcus faecium | Veillonella species,1
Escherichia coli | Prevotella timonensis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida species | Methicillin resistant Staphylococcus aureus | Providencia stuartii,1
"Candida tropicalis | Neisseria species | Rothia mucilaginosa | Streptococcus, viridans group",1
Citrobacter species | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae,1
Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Providencia stuartii | Pseudomonas aeruginosa,1
Candida parapsilosis | Klebsiella aerogenes | Pseudomonas aeruginosa | Streptococcus sanguinis,1
Proteus mirabilis | Providencia stuartii | Streptococcus species,1
"Pseudomonas aeruginosa | Stenotrophomonas maltophilia | Streptococcus, group G",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecalis | Escherichia coli | Proteus mirabilis,1
Candida species | Enterobacter cloacae complex | Escherichia coli | Klebsiella pneumoniae complex | Mycobacterium abscessus | Mycobacterium avium complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Acinetobacter species | Candida glabrata | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Morganella morganii | Stenotrophomonas maltophilia,1
"Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Peptoniphilus species | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Escherichia coli | Klebsiella aerogenes | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus aureus,1
Bacteroides fragilis | Candida glabrata | Escherichia coli | Klebsiella pneumoniae | Parvimonas micra | Streptococcus anginosus,1
Corynebacterium tuberculostearicum | Enterococcus faecium | Methicillin resistant Staphylococcus aureus,1
Candida albicans | Candida glabrata | Candida species | Klebsiella pneumoniae,1
Bacteroides fragilis group | Enterococcus faecalis | Escherichia coli | Pseudomonas aeruginosa,1
Enterococcus raffinosus | Stenotrophomonas maltophilia,1
Achromobacter species | Providencia rettgeri,1
Acinetobacter baumannii | Candida albicans | Corynebacterium striatum | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus haemolyticus,1
Clostridium perfringens | Coliform bacteria | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Clostridium perfringens | Coliform bacteria | Enterobacter cloacae complex | Enterococcus casseliflavus | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Acinetobacter baumannii | Candida tropicalis | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Candida species | Candida tropicalis | Escherichia coli | Klebsiella pneumoniae,1
Clostridium perfringens | Enterococcus avium,1
Streptococcus gordonii | Streptococcus mitis group | Streptococcus salivarius,1
Aeromonas species | Escherichia coli | Salmonella group E | Streptococcus agalactiae,1
Candida albicans | Pseudomonas aeruginosa | Staphylococcus lugdunensis,1
"Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
"Chryseobacterium indologenes | Proteus mirabilis | Staphylococcus, coagulase negative",1
"Corynebacterium striatum | Enterococcus avium | Enterococcus faecalis | Proteus mirabilis | Staphylococcus, coagulase negative",1
Burkholderia cepacia complex | Escherichia coli | Pseudomonas aeruginosa,1
"Candida nivariensis | Citrobacter species | Enterococcus faecalis | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Trichosporon asahii",1
Acinetobacter junii | Candida albicans | Enterococcus faecium,1
Candida albicans | Enterobacter cloacae complex | Escherichia coli | Staphylococcus lugdunensis,1
Escherichia coli | Klebsiella aerogenes | Klebsiella variicola | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus capitis | Staphylococcus caprae,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Actinomyces species | Candida albicans | Candida parapsilosis | Citrobacter species | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Prevotella species | Proteus species | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus anginosus | Streptococcus gallolyticus subspecies pasteurianus",1
Enterobacter species | Enterococcus faecalis | Klebsiella species | Staphylococcus lugdunensis,1
Candida albicans | Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus,1
Diphtheroids | Enterococcus faecium | Escherichia coli | Proteus mirabilis,1
Bacteroides thetaiotaomicron | Bacteroides vulgatus | Escherichia coli | Proteus mirabilis,1
Candida tropicalis | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus,1
Escherichia coli | Finegoldia magna | Klebsiella pneumoniae,1
Granulicatella adiacens | Pseudomonas aeruginosa | Stenotrophomonas maltophilia | Streptococcus oralis,1
"Candida albicans | Escherichia coli | Klebsiella aerogenes | Micrococcus species | Staphylococcus aureus | Staphylococcus capitis | Staphylococcus, coagulase negative",1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis | Enterococcus faecium | Micrococcus species | Pichia kudriavzevii | Sphingomonas paucimobilis | Staphylococcus epidermidis | Staphylococcus lugdunensis | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Bacteroides fragilis | Bacteroides thetaiotaomicron | Candida albicans | Enterococcus faecalis | Escherichia coli | Granulicatella adiacens | Klebsiella pneumoniae | Parabacteroides distasonis | Streptococcus anginosus | Streptococcus gallolyticus | Streptococcus mitis group,1
Candida tropicalis | Escherichia coli | Klebsiella pneumoniae complex | Stenotrophomonas maltophilia,1
Enterococcus faecalis | Escherichia coli | Lactobacillus species,1
Candida haemulonii complex | Corynebacterium striatum | Enterobacter species | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Staphylococcus capitis | Staphylococcus haemolyticus,1
Clostridioides difficile | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae | Proteus species | Shewanella species | Staphylococcus aureus | Streptococcus agalactiae,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Burkholderia cepacia complex | Candida albicans | Enterobacter cloacae complex | Enterococcus faecium | Klebsiella species | Streptococcus constellatus,1
Diphtheroids | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus aureus,1
Coliform bacteria | Corynebacterium striatum | Gram-negative bacilli | Gram-positive bacilli | Klebsiella pneumoniae,1
Bacteroides fragilis | Enterococcus raffinosus | Proteus mirabilis | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Mycobacterium abscessus | Mycobacterium species,1
"Corynebacterium jeikeium | Enterococcus faecalis | Enterococcus faecium | Morganella morganii | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Candida albicans | Dermabacter hominis | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Proteus mirabilis | Pseudomonas aeruginosa,1
Bacteroides fragilis group | Escherichia coli | Fusobacterium mortiferum,1
Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Yeast,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Chryseobacterium arthrosphaerae | Klebsiella aerogenes | Raoultella species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Clostridioides difficile | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis | Candida albicans | Enterococcus faecium | Escherichia coli | Parvimonas micra | Slackia exigua | Staphylococcus aureus | Streptococcus bovis group,1
Candida albicans | Enterococcus faecalis | Escherichia coli | Klebsiella aerogenes | Proteus mirabilis | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Corynebacterium striatum | Corynebacterium urealyticum | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1
Serratia liquefaciens | Streptococcus milleri group,1
Bacteroides nordii | Bacteroides vulgatus | Eggerthella lenta,1
Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Acid-fast bacillus | Escherichia coli | Mycobacterium parascrofulaceum,1
Candida species | Candida tropicalis | Klebsiella pneumoniae | Stenotrophomonas maltophilia,1
Alpha-haemolytic streptococcus | Methicillin resistant Staphylococcus aureus | Neisseria species | Staphylococcus aureus,1
Candida albicans | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1
Corynebacterium striatum | Escherichia coli | Staphylococcus lugdunensis,1
Candida glabrata | Clostridioides difficile | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Streptococcus pneumoniae,1
Candida parapsilosis complex | Candida tropicalis | Enterococcus faecalis,1
Clostridium perfringens | Diphtheroids | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Diphtheroids | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Staphylococcus aureus,1
Candida albicans | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Proteus mirabilis | Pseudomonas aeruginosa | Serratia species,1
Candida haemulonii complex,1
Enterococcus faecium | Proteus species,1
Candida albicans | Corynebacterium amycolatum | Corynebacterium striatum | Corynebacterium urealyticum | Enterococcus faecalis | Gleimia europaea | Klebsiella oxytoca | Morganella morganii | Providencia rettgeri | Pseudomonas aeruginosa,1
"Anaerobic bacteria | Escherichia coli | Klebsiella pneumoniae complex | Streptococcus, viridans group",1
Corynebacterium striatum | Klebsiella pneumoniae | Salmonella group C,1
Haemophilus influenzae | Klebsiella pneumoniae | Staphylococcus aureus,1
